mes	dia	anio	salta	lomitas	iguazu	corrientes	posadas	rioja	ceres	paso	sauce	parana	caseros	mendoza	reynolds	rosario	guale	laboulaye	pehuajo	junin	ezeiza	starosa	neuquen	bblanca	esquel	gallegos
4	10	1961	0	0	0	-99.9	12.9	0.6	5.2	86	6	5.7	93.7	0	6.7	23.4	15.8	48.5	0	8.4	58.4	0	0	0	0	0.3
4	11	1961	1.2	5.1	4	-99.9	47.5	0	0	0.2	0	0	5	0	36.6	0	0	0	0	0	0	0	0	0	0	0
4	12	1961	0.5	2.3	13.5	-99.9	43.2	0	0	10.3	0	0	0	0	6.4	0	0	2	0	0	0	0	0	10.9	0	0
4	13	1961	0	65.7	5.3	-99.9	4.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.9	0	0	0	0
4	14	1961	16.8	20.5	7.4	-99.9	18.3	0.8	0.3	1.7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
4	15	1961	0.4	3.3	3.6	-99.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4	16	1961	0.1	1.1	4.9	-99.9	2	0	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13.5	0	0
4	17	1961	0	0.3	10.3	-99.9	11.8	1.7	3.1	4.5	0.6	0	0	79	0	0	0	0	0	0	0	0	0	2.7	0	0
4	18	1961	0.4	0	0	-99.9	0	1.2	0	0	0	0	0	0	0.8	0	0	0.5	0	0	0	0	4.7	0	0	0
4	19	1961	0	0	0	-99.9	0	0.1	0	0	0	0	0	0	10	0	0	6.4	0	0.2	0	0	0	0	1.4	0
4	20	1961	0.3	0	0	-99.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.3	0	6.8	0
4	21	1961	0	2.4	1.4	-99.9	88.3	0	3	13	1.7	0.6	25.7	0	9	0.8	17	12	14.6	0	0.2	41.7	0	6.1	0	0.2
4	22	1961	0	0.1	25.2	-99.9	6	0	0	0	0	0	0	0	0	0	0	0	0.4	0	0.3	0	0	0.2	0	0
4	23	1961	17.2	0	0.2	-99.9	0	0	0	0	0	0	0	0	0	0	5	0	1.9	1.4	8	0	0	0	0	0.5
4	24	1961	0.6	0	0	-99.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4	25	1961	0	0	0	-99.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4	26	1961	0	0	0	-99.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4	27	1961	0	0	0	-99.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.8	0	0	0	0.6
4	28	1961	0	0	0	-99.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.3
4	29	1961	0	0	0	-99.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4	30	1961	0	0	0	-99.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5	1	1961	4.6	24.8	9.7	-99.9	0	0.3	3.3	0	0	0	0	4.8	43.2	0	0	0	5.5	0	0	2.9	0	0	0	0.2
5	2	1961	0.3	0	1.8	-99.9	0.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5	3	1961	0	0	0	-99.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
5	4	1961	0	0	0	-99.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.8	0	0	0
5	5	1961	0	0	0	-99.9	0	0	0	0	0	0	0	0	3	0	0	0	4.6	0.1	0	4.1	0	0	0	0
5	6	1961	7.9	21	40.3	-99.9	36.4	0	0	1.5	0.1	0	1.5	0	0	0	0.7	0	1.3	0	82.3	0	0	0	22.2	0
5	7	1961	0	0	1.8	-99.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1	0	0	0
